sigma,rho_sigma
2.949748743718593191e-01,8.881784197001252323e-16
2.989949748743718771e-01,-6.661338147750939243e-16
3.030150753768844352e-01,2.220446049250313081e-16
3.070351758793970487e-01,-2.220446049250313081e-16
3.110552763819096067e-01,2.220446049250313081e-16
3.150753768844221647e-01,-2.220446049250313081e-16
3.190954773869347227e-01,8.881784197001252323e-16
3.231155778894472808e-01,-4.440892098500626162e-16
3.271356783919598388e-01,0.000000000000000000e+00
3.311557788944723968e-01,-4.440892098500626162e-16
3.351758793969849548e-01,4.440892098500626162e-16
3.391959798994975128e-01,2.220446049250313081e-16
3.432160804020100708e-01,-4.440892098500626162e-16
3.472361809045226289e-01,-8.881784197001252323e-16
3.512562814070351869e-01,8.881784197001252323e-16
3.552763819095477449e-01,0.000000000000000000e+00
3.592964824120603029e-01,4.440892098500626162e-16
3.633165829145728609e-01,-4.440892098500626162e-16
3.673366834170854189e-01,2.220446049250313081e-16
3.713567839195979770e-01,0.000000000000000000e+00
3.753768844221105350e-01,-8.881784197001252323e-16
3.793969849246231485e-01,8.881784197001252323e-16
3.834170854271357620e-01,0.000000000000000000e+00
3.874371859296483200e-01,-2.220446049250313081e-16
3.914572864321608781e-01,-4.440892098500626162e-16
3.954773869346734361e-01,0.000000000000000000e+00
3.994974874371859941e-01,0.000000000000000000e+00
4.035175879396985521e-01,0.000000000000000000e+00
4.075376884422111101e-01,2.220446049250313081e-16
4.115577889447236681e-01,6.661338147750939243e-16
4.155778894472362262e-01,-2.220446049250313081e-16
4.195979899497487842e-01,-2.220446049250313081e-16
4.236180904522613422e-01,-4.440892098500626162e-16
4.276381909547739002e-01,0.000000000000000000e+00
4.316582914572864582e-01,8.881784197001252323e-16
4.356783919597990162e-01,-1.332267629550187849e-15
4.396984924623115742e-01,0.000000000000000000e+00
4.437185929648241323e-01,8.881784197001252323e-16
4.477386934673366903e-01,-8.881784197001252323e-16
4.517587939698492483e-01,8.326672684688674053e-16
4.557788944723618063e-01,-8.881784197001252323e-16
4.597989949748743643e-01,4.440892098500626162e-16
4.638190954773869779e-01,-4.440892098500626162e-16
4.678391959798995914e-01,0.000000000000000000e+00
4.718592964824121494e-01,4.440892098500626162e-16
4.758793969849247074e-01,-4.440892098500626162e-16
4.798994974874372654e-01,0.000000000000000000e+00
4.839195979899498234e-01,-1.387778780781445676e-17
4.879396984924623815e-01,4.440892098500626162e-16
4.919597989949749395e-01,0.000000000000000000e+00
4.959798994974874975e-01,-4.458781434346636985e-16
5.000000000000000000e-01,1.256637061435917246e+02
5.040201005025126690e-01,-3.862470239479609546e-19
5.080402010050251160e-01,-4.371503159461553878e-16
5.120603015075377851e-01,4.475586568020162304e-16
5.160804020100502321e-01,0.000000000000000000e+00
5.201005025125629011e-01,-2.775557561562891351e-17
5.241206030150753481e-01,2.775557561562891351e-17
5.281407035175880171e-01,0.000000000000000000e+00
