# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
672.458184,11.356710,14.910793,11.123970,14.576228,0.435382,0.435382,0.960130,0.000696,0.785770,0.785770
673.043578,9.153494,8.355785,9.285997,8.381257,0.435463,0.976208,0.959722,0.000695,0.785770,0.785770
674.355898,3.566852,3.744485,3.615820,3.684175,0.976614,1.327468,0.958811,0.000694,0.785769,0.785769
676.139674,4.822363,6.731463,4.717822,6.517338,0.812002,0.812002,0.957575,0.000692,0.785768,0.785768
677.230181,10.156709,12.282497,10.029375,12.042426,0.424771,0.424771,0.956821,0.000691,0.785767,0.785767
677.800445,11.710496,9.480088,11.993523,9.645099,0.424847,1.446607,0.956427,0.000690,0.785767,0.785767
679.742198,2.425348,2.935400,2.446414,2.838803,1.447491,1.604812,0.955090,0.000688,0.785766,0.785766
681.894992,8.531565,11.673515,8.304231,11.329732,0.527948,0.527948,0.953612,0.000685,0.785765,0.785765
682.602735,6.680224,6.574727,6.762347,6.535675,0.528064,1.052643,0.953127,0.000685,0.785764,0.785764
684.013550,5.145868,6.534881,5.080377,6.346381,0.715908,0.715908,0.952162,0.000683,0.785764,0.785764
684.972630,5.222833,5.277886,5.292281,5.220629,0.716122,0.888987,0.951508,0.000682,0.785763,0.785763
